"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT"
"TID_GOLEM_SEC","Golemite","Golemite","Mini-Golem","Golemita","Golemiti","Golempjes","Golemitt","Golemita","Golemit","小型ゴーレム","小戈仑石人","작은 골렘","Големчики","كائنات غولم الصغيرة","小戈侖石人"
"TID_CHARACTER_INFO_GOLEM_SEC","Golemites are smaller Golems constructed within the gargantuan creature. When the Golem is destroyed, the Golemites spring to life and keep fighting!","Les golemites sont de petits golems construits à l'intérieur de ces mastodontes. Lorsqu'un golem est détruit, les golemites prennent vie et continuent le combat à sa place !","Mini-Golems sind kleinere Golems im Innern dieser riesigen Kreaturen. Wenn ein Golem zerstört wird, erwachen die Mini-Golems zum Leben und führen den Kampf fort!","Son gólems pequeños creados a partir de la criatura gargantúa. Cuando el gólem es destruido, ¡los golemitas vuelven a la vida y siguen luchando!","I golemiti sono dei golem più piccoli che si celano all'interno di queste gigantesche creature. Quando i golem vengono distrutti, i golemiti entrano in azione per continuare a combattere!","Golempjes zijn kleinere golems die zich in het gigantische wezen bevinden. Wanneer de golem wordt vernietigd, komen de golempjes tot leven en vechten ze door!","Golemitter er mindre golemer som blir laget i den enorme skapningen. Når golemen ødelegges, våkner golemittene til liv og fortsetter å kjempe!","Os Golemitas são Golens menores, construídos dentro da criatura gigantesca. Quando o Golem é destruído, os Golemitas ganham vida e continuam lutando!","Golemitler, devasa yaratığın içinde üretilen küçük Golemlerdir. Golem yok edilirse, Golemitler canlanırlar ve savaşmaya devam ederler!","小型ゴーレムはゴーレムから生まれます。ゴーレムが破壊されると小型ゴーレムになり、戦闘を続行します。","小戈仑石人是由这个巨大生物孕育的更小的戈仑石人。当戈仑石人被摧毁时，小戈仑石人被赋予生命并继续战斗！","작은 골렘은 거대한 골렘 내부에 잠든 상태로 머물다가 큰 골렘이 파괴되면 잠에서 깨어나 전투를 이어갑니다.","Големчики — это маленькие Големы, живущие внутри огромного существа. Когда Голема уничтожают, големчики пробуждаются к жизни и продолжают сражаться!","كائنات غولم الصغيرة هي مثل غولم صغير تم تشييده داخل مخلوق عملاق. عند تدمير غولم، فإن كائنات غولم الصغيرة تنبثق إلى الحياة وتستمر في القتال!","這些小戈侖石人是從戈侖石人中生成的。當戈侖石人被打敗的時候，這些小戈侖石人便會被賦予生命並繼續戰鬥。"
"TID_MAX_SUMMONED_UNITS","Max summoned units: <number>","Maximum d'unités invoquées : <number>","Maximal herbeigerufene Einheiten: <number>","Unidades máximas invocadas: <number>","Max unità evocate: <number>","Max. opgeroepen eenheden: <number>","Maksimalt antall tilkalte enheter: <number>","Máx. de unidades convocadas: <number>","Maks çağrılan birim: <number>","召喚できるユニット数：<number>","最大召唤数量： <number>","최대 소환 유닛: <number>","Макс. призвано воинов: <number>","أقصى وحدات مستدعاة: <number>","召喚單位數上限：<number>"
"TID_IAP_TRANSACTION_PENDING","Please wait. Transaction is pending.","Veuillez patienter. Transaction en cours.","Bitte warten. Transaktion läuft.","Espera, por favor. La transacción está pendiente.","Attendere. Transazione in sospeso.","Momentje geduld. Transactie wordt verwerkt.","Vent litt. Transaksjonen behandles.","Aguarde. Transação pendente.","Lütfen bekleyin: İşlem sürüyor.","処理中です。少々お待ちください。","请稍等。支付进行中。","잠시만 기다려주세요. 결제가 진행 중입니다.","Пожалуйста, подождите. Производится транзакция.","يُرجى الانتظار. العملية قيد الانتظار.","請稍候。正在等候交易完成。"
"TID_ACHIEVEMENT_LEAGUE_TITLE","League All-Star","Ligue des stars","Held der Ligen","Liga de las Estrellas","Lega All-Star","All-stardivisie","All-Star-liga","Melhor da liga","All-Star Ligi","リーグオールスター","联赛明星","리그 올스타","Звездная Лига","دوري النجوم","全明星大賽"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Join the Crystal League","Rejoindre la ligue de cristal","Tritt der Kristall-Liga bei","Únete a la Liga de Cristal.","Partecipa alla Lega Cristallo","Bereik de kristallen divisie","Bli med i krystalligaen","Junte-se à Liga Cristal","Kristal Lig'e katıl","クリスタルリーグに加入する","加入水晶杯联赛","크리스털 단계 진입","Присоединитесь к Хрустальной Лиге","انضم إلى الدوري الكريستالي","進入水晶聯盟"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Reach the Masters League","Rejoindre la ligue master","Erreiche die Meister-Liga","Alcanza la Liga de Maestros.","Raggiungi la Lega Master","Behaal de meestersdivisie","Ta deg til mesterligaen","Alcance a Liga Mestre","Usta Lig'e katıl","マスターリーグに到達する","加入大师联赛","마스터 단계 진입","Попадите в Лигу Мастеров","الوصول إلى دوري الأساتذة","進入大師聯盟"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Become a Champion!","Devenir un champion !","Werde ein Champion!","Entra en la Liga de Campeones.","Diventa un Campione!","Word een kampioen!","Bli stormester!","Torne-se um Campeão!","Bir Şampiyon ol!","チャンピオンリーグに到達する","加入冠军联赛","챔피언 단계 달성!","Станьте Чемпионом!","كن بطلاً!","進入冠軍聯盟"
"TID_VIEW_ALLIANCE_TAB","View Clan","Voir le clan","Clan betrachten","Ver clan","Visualizza clan","Clan bekijken","Vis klan","Ver Clã","Klanı Görüntüle","クランを見る","查看部落","클랜 보기","Просмотр Клана","عرض القبيلة","查看部落"
"TID_VIEW_PROFILE_TAB","Player Profile","Profil de joueur","Spielerprofil","Perfil del jugador","Profilo giocatore","Spelersprofiel","Spillerprofil","Perfil do Jogador","Oyuncu Profili","プレイヤープロフィール","玩家简介","사용자 정보","Профиль Игрока","ملف اللاعب الشخصي","玩家個人資料"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","X-Bow Exterminator","Exterminateur d'arcs-X","X-Bogen-Vernichter","Exterminador de ballestas","Sterminatore di archi-X","X-boogvernietiger","X-bue-ekspederer","Exterminador de X-Bestas","X-Yayı İmha Edicisi","巨大クロスボウ・エクスターミネーター","连弩终结者","대형 석궁 척살자","Ликвидатор Арбалетов","مبيد الأقواس","X連弩終結者"
"TID_ACHIEVEMENT_DESTROY_XBOW","Destroy <number> X-Bows in Multiplayer battles","Détruire <number> arcs-X lors de batailles en multijoueur","Zerstöre <number> X-Bögen in Mehrspieler-Kämpfen","Destruye <number> ballestas en batallas multijugador.","Distruggi <number> archi-X in battaglie multigiocatore","Vernietig <number> X-bogen in multiplayergevechten","Ødelegg <number> X-buer i flerspillerkamper","Destrua <number> X-Bestas em batalhas multijogador","Çok oyunculu savaşlarda <number> adet X-Yayı yok et","マルチプレイで巨大クロスボウを<number>個破壊する","在联机游戏中摧毁<number>个X连弩","멀티플레이 전투에서 대형 석궁 <number>개 파괴","Уничтожьте <number> Арбалетов в Многопользовательском Режиме","تدمير <number> من الأقواس في معارك متعددة اللاعبين","在多人遊戲戰鬥中破壞<number>座X連弩"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Destroy one X-Bow in a Multiplayer battle","Détruire un arc-X lors d'une bataille en multijoueur","Zerstöre einen X-Bogen in einem Mehrspieler-Kampf","Destruye una ballesta en una batalla multijugador.","Distruggi un arco-X in una battaglia multigiocatore","Vernietig één X-boog in een multiplayergevecht","Ødelegg én X-bue i en flerspillerkamp","Destrua uma X-Besta em uma batalha multijogador","Çok Oyunculu bir savaşta bir adet X-Yayı yok et","マルチプレイで巨大クロスボウを1個破壊する","在联机游戏中摧毁1个X连弩","멀티플레이 전투에서 대형 석궁 1개 파괴","Уничтожьте один Арбалет в Многопользовательском Режиме","تدمير قوس واحد في معركة متعددة اللاعبين","在多人遊戲戰鬥中破壞2座X連弩"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Firefighter","Extinction des feux","Feuerlöscher","Tumbatorres","Pompiere","Brandweerman","Brannmann","Bombeiro","İtfaiyeci","ファイアファイター","灭火英雄","소방관","Огнеборец","خبير إطفاء","滅火英雄"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Destroy <number> Inferno Towers in Multiplayer battles","Détruire <number> tours de l'enfer lors de batailles multijoueur","Zerstöre <number> Infernotürme in Mehrspieler-Kämpfen","Destruye <number> torres infernales en batallas multijugador.","Distruggi <number> torri infernali in battaglie multigiocatore","Vernietig <number> infernotorens in multiplayergevechten","Ødelegg <number> infernotårn i flerspillerkamper","Destrua <number> Torres Inferno em batalhas multijogador","Çok oyunculu savaşlarda <number> Cehennem Kulesi yok et","マルチプレイでインフェルノタワーを<number>個破壊する","在联机游戏中摧毁<number>座地狱之塔","멀티플레이 전투에서 인페르노 타워 <number>개 파괴","Уничтожьте <number> Адских Башен в Многопользовательском Режиме","تدمير <number> من أبراج النار في معارك متعددة اللاعبين","在多人遊戲戰鬥中破壞<number>座地獄之塔"
"TID_TOWN_HALL_UPGRADE_WARNING","Note: Upgrading will reduce your loot from opponents with town hall level <number> and below.","Remarque : l'amélioration réduira le butin obtenu en affrontant les adversaires dont l'hôtel de ville est de niveau <number> ou inférieur.","Hinweis: Eine Verbesserung reduziert deine Beute von Gegnern mit Rathäusern auf Level <number> und niedriger.","Nota: al mejorarlo reducirás la cantidad de botín que puedes saquear de rivales con un ayuntamiento de nivel <number> o inferior.","Nota: i miglioramenti riducono il bottino ottenibile dai nemici con un municipio di livello pari o inferiore a <number>.","Let op: upgraden verlaagt de buit van tegenstanders met stadhuislevel <number> en lager.","Merk: Hvis du oppgraderer, vil du få mindre utbytte fra motstandere med rådhus på nivå <number> eller lavere.","Atenção: a melhoria reduzirá seus saques de oponentes com nível de centro da vila <number> ou inferior.","Uyarı: Yükseltme, belediye binası <number>. ve altındaki seviyelerde olan düşmanlardan kazandığınız ganimeti azaltacak.","注意：アップグレードするとタウンホールのレベルが<number>以下の敵を相手にした時の戦利品が少なくなります。","注意：升级后，如果对手的大本营等级为<number> 级或更低等级，您从该对手处可获得的战利品将会比升级前少。","주의: 업그레이드하면 마을 회관 레벨 <number> 이하의 상대로부터 약탈하는 전리품이 감소합니다.","Внимание: улучшение уменьшит добычу от противников с Ратушей <number> уровня и меньше.","ملاحظة: ستقلل الترقية غنيمتك من الخصوم بقاعة المدينة من المستوى <number> وما أقل.","注意：升級后，如果對手的大本營等級等於或低於<number>，您從該對手處可獲得的戰利品將會比升級前少"
"TID_SHARE_REPLAY_FAILED","Replay has been shared already by another player","Cette vidéo a déjà été partagée par un autre joueur.","Die Wiederholung wurde bereits von einem anderen Spieler geteilt","La repetición ya ha sido compartida por otro jugador.","Il replay è già stato condiviso da un altro giocatore","Herhaling is al gedeeld door een andere speler","Reprisen har allerede blitt delt av en annen spiller","O replay já foi compartilhado por outro jogador","Tekrar, başka bir oyuncu tarafından zaten paylaşılmış.","リプレイはすでに他のプレイヤーによって共有されています。","视频已经被另一个玩家分享","이미 다른 사용자에 의해 공유된 영상입니다.","Другой игрок уже поделился повтором","تمت مشاركة إعادة العرض بالفعل من قِبل لاعب آخر","視頻已由另一位玩家分享過了"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Highest Gold Storage level: <value>","Plus haut niveau de réserve d'or : <value>","Höchstes Goldlager-Level: <value>","Nivel más alto de almacén de oro: <value>","Livello più alto del deposito d'oro: <value>","Hoogste level goudkluis: <value>","Høyeste gullagernivå: <value>","Nível do maior Depósito de Ouro: <value>","En Yüksek Altın Deposu seviyesi: <value>","金庫の最大レベル：<value>","最高储金罐等级：<value>","최고 골드 저장소 레벨: <value>","Высший уровень Золотохранилища: <value>","أعلى مستوى لمخزن الذهب: <value>","儲金罐最高等級：<value>"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Stars in Campaign Map: <value>","Étoiles sur la carte de campagne : <value>","Sterne auf der Kampagnenkarte: <value>","Estrellas en el modo de un jugador: <value>","Stelle sulla mappa Giocatore Singolo: <value>","Sterren op de campagnekaart: <value>","Stjerner på operasjonskart: <value>","Estrelas no Modo Campanha: <value>","Sefer Haritası üzerindeki Yıldızlar: <value>","キャンペーンマップの星：<value>","单人模式地图上获得的星：<value>","획득한 캠페인 지도의 별: <value>","Звезд на карте кампании: <value>","النجوم في خريطة الحملة: <value>","在單人模式地圖上的星星數：<value>"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Current Town Hall level: <value>","Niveau actuel de l'hôtel de ville : <value>","Derzeitiges Rathaus-Level: <value>","Nivel de ayuntamiento actual: <value>","Livello attuale del municipio: <value>","Huidig stadhuislevel: <value>","Gjeldende nivå på rådhuset: <value>","Nível atual do Centro da Vila: <value>","Belediye Binası mevcut seviyesi: <value>","現在のタウンホールのレベル：<value>","目前大本营的等级：<value>","현재 마을 회관 레벨: <value>","Сейчас уровень Ратуши: <value>","مستوى قاعة المدينة الحالي: <value>","大本營的目前等級：<value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Total obstacles removed: <value>","Total d'obstacles supprimés : <value>","Hindernisse entfernt (insgesamt): <value>","Obstáculos eliminados: <value>","Totale ostacoli rimossi: <value>","Aantal verwijderde obstakels: <value>","Antall hindringer fjernet: <value>","Total de obstáculos removidos: <value>","Kaldırılan toplam engel: <value>","取り除いた障害物の総数：<value>","移除的障碍物数量：<value>","제거한 장애물: <value>","Препятствий убрано: <value>","إجمالي العوائق المزالة: <value>","移除的障礙物總數：<value>"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Total Gold looted: <value>","Total d'or pillé : <value>","Gold erbeutet (insgesamt): <value>","Oro robado: <value>","Totale oro conquistato: <value>","Aantal buit gemaakte eenheden goud: <value>","Mengde gull stjålet: <value>","Total de Ouro saqueado: <value>","Yağmalanan toplam Altın: <value>","戦闘で獲得したゴールドの総数：<value>","总共获得的金币战利品：<value>","약탈한 골드: <value>","Золота украдено: <value>","إجمالي الذهب المسروق: <value>","掠奪的金幣總數：<value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Total Elixir looted: <value>","Total d'élixir pillé : <value>","Elixier erbeutet (insgesamt): <value>","Elixir robado: <value>","Totale elisir conquistato: <value>","Aantal buit gemaakte eenheden elixir: <value>","Mengde eliksir stjålet: <value>","Total de Elixir saqueado: <value>","Yağmalanan toplam İksir: <value>","戦闘で獲得したエリクサーの総数：<value>","总共获得的圣水战利品：<value>","약탈한 엘릭서: <value>","Эликсира украдено: <value>","إجمالي الإكسير المسروق: <value>","掠奪的聖水總數：<value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Trophy record: <value>","Record de trophées : <value>","Trophäen: <value>","Récord de trofeos: <value>","Numero trofei: <value>","Record trofeeën: <value>","Trofé-rekord: <value>","Recorde de troféus: <value>","Ödül sayısı: <value>","獲得したトロフィー：<value>","最高奖杯记录：<value>","트로피 기록: <value>","Трофеев завоевано: <value>","سجل الكؤوس: <value>","最多獎盃紀錄：<value>"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Current Clan Castle level: <value>","Niveau actuel du château de clan : <value>","Derzeitiges Clanburg-Level: <value>","Nivel actual de castillo del clan: <value>","Livello attuale del castello del clan: <value>","Huidige level clankasteel: <value>","Gjeldende nivå på klanslott: <value>","Nível atual do Castelo do Clã: <value>","Klan Kalesi mevcut seviyesi: <value>","現在のクランの城のレベル：<value>","目前的部落城堡等级：<value>","현재 클랜 성 레벨: <value>","Уровень Крепости Клана: <value>","مستوى قلعة القبيلة الحالي: <value>","部落城堡的目前等級：<value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Total walls destroyed: <value>","Total de remparts détruits : <value>","Mauern zerstört (insgesamt): <value>","Muros destruidos: <value>","Totale mura distrutte: <value>","Aantal vernietigde muren: <value>","Antall murer ødelagt: <value>","Total de Muros destruídos: <value>","Yok edilen toplam duvar: <value>","破壊した壁の総数：<value>","总共摧毁的城墙数量：<value>","파괴한 장벽: <value>","Стен уничтожено: <value>","إجمالي الجدران المدمرة: <value>","破壞的城牆總數：<value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Total Town Halls destroyed: <value>","Total d'hôtels de ville détruits : <value>","Rathäuser zerstört (insgesamt): <value>","Ayuntamientos destruidos: <value>","Totale municipi distrutti: <value>","Aantal vernietigde stadhuizen: <value>","Antall rådhus ødelagt: <value>","Total de Centros da Vila destruídos: <value>","Yok edilen toplam Belediye Binası: <value>","破壊したタウンホールの総数：<value>","总共摧毁的大本营数量：<value>","파괴한 마을 회관: <value>","Ратуш уничтожено: <value>","إجمالي قاعات المدينة المدمرة: <value>","破壞的大本營總數：<value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Total Builder's Huts destroyed: <value>","Total de cabanes d'ouvrier détruites : <value>","Bauhütten zerstört (insgesamt): <value>","Chozas de constructor destruidas: <value>","Totale capanne del costruttore distrutte: <value>","Aantal vernietigde bouwketen: <value>","Antall byggerhytter ødelagt: <value>","Total de Cabanas do Construtor destruídas: <value>","Yok edilen toplam İnşaatçı Kulübesi: <value>","破壊した大工の小屋の総数：<value>","总共摧毁的建筑工人小屋数量：<value>","파괴한 장인의 집: <value>","Хижин Строителей уничтожено: <value>","إجمالي أكواخ البنّاء المدمرة: <value>","破壞的建築工人小屋總數：<value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Total multiplayer battles won: <value>","Total de batailles multijoueur gagnées : <value>","Mehrspieler-Kämpfe gewonnen (insgesamt): <value>","Batallas multijugador ganadas: <value>","Totale battaglie multigiocatore vinte: <value>","Aantal gewonnen multiplayergevechten: <value>","Antall flerspillerkamper vunnet: <value>","Total de batalhas multijogador vencidas: <value>","Kazanılan toplam çok oyunculu savaş: <value>","マルチプレイでの勝利数：<value>","总共赢得的联机游戏战斗次数：<value>","승리한 멀티플레이 전투: <value>","Выиграно в многопользовательском режиме: <value>","إجمالي المعارك متعددة اللاعبين التي فزت بها: <value>","多人遊戲戰鬥成功總數：<value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Total defenses won: <value>","Total d'attaques repoussées : <value>","Verteidigungen gewonnen (insgesamt): <value>","Victorias en defensa: <value>","Totale difese vinte: <value>","Aantal gewonnen verdedigingen: <value>","Antall forsvar vunnet: <value>","Total de defesas vencidas: <value>","Kazanılan toplam savunma: <value>","防衛戦勝利数：<value>","总共成功抵御的防御次数：<value>","승리한 방어전: <value>","Атак отбито: <value>","إجمالي الدفاعات التي تم الفوز بها: <value>","防禦成功總數：<value>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Total capacity donated: <value>","Total de dons en capacités : <value>","Truppen gespendet (insgesamt): <value>","Tropas donadas: <value>","Totale capacità donata: <value>","Aantal gedoneerde versterkingen: <value>","Mengde gitt bort: <value>","Total de unidades de capacidade doadas: <value>","Bağışlanan toplam kapasite: <value>","送った援軍の総数：<value>","总共派出的援兵：<value>","지원한 인구수: <value>","Мест отдано: <value>","إجمالي السعة المتبرع بها: <value>","派遣的部隊單位總計：<value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Total Mortars destroyed: <value>","Total de mortiers détruits : <value>","Minenwerfer zerstört (insgesamt): <value>","Morteros destruidos: <value>","Totale mortai distrutti: <value>","Aantal vernietigde mortieren: <value>","Antall mortere ødelagt: <value>","Total de Morteiros destruídos: <value>","Yok edilen toplam Havan: <value>","破壊した迫撃砲の総数：<value>","总共摧毁的迫击炮数量：<value>","파괴한 박격포: <value>","Мортир уничтожено: <value>","إجمالي مدافع الهاون المدمرة: <value>","破壞的迫擊砲總數：<value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Total Dark Elixir looted: <value>","Total d'élixir noir pillé : <value>","Dunkles Elixier erbeutet (insgesamt): <value>","Elixir oscuro robado: <value>","Totale Elisir nero conquistato: <value>","Aantal buit gemaakte eenheden duister-elixir: <value>","Mengde mørk eliksir stjålet: <value>","Total de Elixir Negro saqueado: <value>","Yağmalanan toplam Kara İksir: <value>","戦闘で獲得したダークエリクサーの総数：<value>","总共获得的暗黑重油战利品：<value>","약탈한 다크 엘릭서: <value>","Черного Эликсира украдено: <value>","إجمالي إكسير الظلام المسروق: <value>","掠奪的闇黑重油總數：<value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Total X-Bows destroyed: <value>","Total d'arcs-X détruits : <value>","X-Bögen zerstört (insgesamt): <value>","Ballestas destruidas: <value>","Totale archi-X distrutti: <value>","Aantal vernietigde X-bogen: <value>","Antall X-buer ødelagt: <value>","Total de X-Bestas destruídas: <value>","Yok edilen toplam X-Yayı: <value>","破壊した巨大クロスボウの総数：<value>","总共摧毁的X-连弩数量：<value>","파괴한 대형 석궁: <value>","Арбалетов уничтожено: <value>","إجمالي الأقواس المدمرة: <value>","破壞的X連弩總數：<value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Total Inferno Towers destroyed: <value>","Total de tours de l'enfer détruites : <value>","Infernotürme zerstört (insgesamt): <value>","Torres infernales destruidas: <value>","Totale torri infernali distrutte: <value>","Aantal vernietigde infernotorens: <value>","Antall infernotårn ødelagt: <value>","Total de Torres Inferno destruídas: <value>","Yok edilen toplam Cehennem Kulesi: <value>","破壊したインフェルノタワーの総数：<value>","总共摧毁的地狱之塔数量：<value>","파괴한 인페르노 타워: <value>","Адских Башен уничтожено: <value>","إجمالي أبراج النار المدمرة: <value>","破壞的地獄之塔總數：<value>"
"TID_LINK_DEVICE_BUTTON","Link a device","Associer un appareil","Gerät verbinden","Enlazar","Collega un dispositivo","Koppel een apparaat","Knytt til en enhet","Vincular um dispositivo","Bir cihazı bağla","デバイスを関連づける","关联另一设备/账号","기기 연동","Привязать устройство","ربط جهاز","關聯另一台裝置"
"TID_OPEN_GAMECENTER_BUTTON","Open Game Center","Ouvrir le Game Center","Game Center öffnen","Abrir Game Center","Apri Game Center","Open Game Center","Åpne Game Center","Abrir o Game Center","Game Center'ı aç","Game Center を開く","打开Game Center","Game Center 실행","Открыть Game Center","فتح Game Center","開啟Game Center"
"TID_LINK_TARGET_IOS_BUTTON","I want to link to\nan iPhone, iPad or iPod","Associer à un\niPhone, iPad ou iPod","Verbinden mit\niPhone, iPad oder iPod","Dispositivo iOS","Voglio collegare\nun iPhone, iPad o iPod","Ik wil met een\niPhone, iPad of iPod koppelen","Jeg vil knytte til\nen iPhone, iPad eller iPod","Quero vincular um\niPhone, iPad ou iPod","Bir iPhone, iPad veya iPod'a\nbağlanmak istiyorum.","iPhone、iPad、または iPod に\n関連づける","我想关联\niPhone、iPad 或 iPod","iPhone, iPad, 혹은 iPod\n연동하기","Привязка к\niPhone, iPad или iPod","أرغب في الربط\nبجهاز iPhone، أو iPad أو iPod","我要關聯至\niPhone、iPad或iPod"
"TID_LINK_TARGET_IOS_BUTTON_ANDROID","I want to link to\nan Android device","Associer à un\nappareil Android","Verbinden mit\neinem Android-Gerät","Dispositivo Android","Voglio collegare\nun dispositivo Android","Ik wil met een\nAndroid-apparaat koppelen","Jeg vil knytte til\nen Android-enhet","Quero vincular um\ndispositivo Android","Bir Android cihazına\nbağlanmak istiyorum","Androidデバイスと\n関連づける","我想关联一台安卓设备","Android 기기에\n연동하고 싶어요.","Привязка к\nустройством Android","أرغب في الربط\nبجهاز Android","我要關聯至\nAndroid裝置"
"TID_LINK_TARGET_OTHER_BUTTON","I want to link to\nanother device","Associer à un\nautre appareil","Verbinden mit\nanderem Gerät","Otro dispositivo","Voglio collegare\nun altro dispositivo","Ik wil met een\nander apparaat koppelen","Jeg vil knytte til\nen annen enhet","Quero vincular\noutro dispositivo","Başka bir cihaza\nbağlanmak istiyorum","他のデバイスに\n関連づける","我想关联另一种设备","다른 기기\n연동하기","Привязка к\nдругому устройству","أرغب في الربط\nبجهاز آخر","我要關聯至\n其他裝置"
"TID_LINK_TARGET_DEVICE_TYPE","Target Device","Appareil cible","Zielgerät","Dispositivo de destino","Dispositivo obiettivo","Doelapparaat","Målenhet","Dispositivo Alvo","Hedef Cihaz","ターゲット デバイス","目标设备","대상 기기","Целевое Устройство","الجهاز الهدف","目標裝置"
"TID_LINK_TARGET_DEVICE_TEXT","Choose the type of the device you want to link to:","Choisissez le type d'appareil voulu pour l'association :","Wähle die Geräteart, die du verbinden willst:","Escoge el tipo de dispositivo que quieres enlazar:","Scegli il tipo di dispositivo che desideri collegare:","Kies het type apparaat dat je wilt koppelen:","Velg typen enhet du vil knytte til:","Escolha o tipo de dispositivo que você quer vincular:","Bağlamak istediğin cihazın türünü seç:","関連づけるデバイスの種類を選択してください:","请选择您要关联的设备的类型：","연동하고자 하는 기기의 유형을 선택하세요.","Выберите вид устройства, к которому вы хотите привязать игру:","اختر نوع الجهاز الذي ترغب ربطه بـ:","請選擇您要關聯的裝置類型："
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","Tap for info!","Touchez pour en savoir plus !","Für Infos antippen!","Más información","Tocca per avere più info!","Tik voor meer info!","Trykk for info!","Toque para mais informações!","Bilgi için dokun!","タップして情報を表示","点击以获取资讯！","탭하여 정보 보기!","Коснитесь, чтобы узнать больше!","انقر للحصول على المعلومات!","點選以取得資訊！"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Only Elders and Leader can invite new members","Seuls les aînés et les chefs peuvent inviter de nouveaux membres !","Nur Älteste und Anführer können neue Mitglieder einladen!","Solo los veteranos y los líderes pueden enviar invitaciones.","Solo gli Anziani e i Capi possono invitare nuovi membri.","Alleen oudsten en leiders kunnen nieuwe leden uitnodigen.","Bare seniorer og ledere kan invitere nye medlemmer!","Somente anciões e líderes podem convidar novos membros","Sadece Büyükler ve Lider, yeni üye davet edebilir!","新メンバーを招待できるのは長老とリーダーだけです！","只有首领、副首领和长老能邀请新成员。","클랜 장로와 대표만이 신규 회원을 초대할 수 있습니다.","Лишь Старейшины и Главы могут приглашать новых игроков.","يمكن للزعماء والقادة فقط دعوة الأعضاء الجدد","只有首領、副首領和長老能邀請新成員。"
"TID_GOOGLE_SERVICE_CONNECT_TITLE","Google Play Sign-In recommended","Connexion Google Play recommandée","Google Play-Anmeldung empfohlen","Conectar con Google Play","Accesso a Google Play consigliato","Google Play Sign-In aanbevolen","Det anbefales med Google Play Sign-In","Login no Google Play recomendado","Google Play ile Giriş tavsiye edilir","Google Play ログインを推奨","建议用 Google Play 登录","Google Play 계정 로그인 추천","Рекомендуем войти в Google Play","يُنصح بتسجيل الدخول إلى Google Play","建議使用Google Play Sign-In"
